,,"Studierenden-Statistik "
,,"WS 2008/09"
,,,
§PAGEBREAK
,"I n h a l t",,Seite
,,,
,Vorbemerkungen,,3
,,,
,Erläuterungen,,4
,,,
"Statistik 1",Gesamtstatistik,,5
,,,
"Statistik 2","Studierende nach Abschlusszielen",,6
,,,
"Statistik 3","Studierende nach dem 1. Studienfach - (1.Studiengang)",,7
,,,
"Statistik 4","Studienanfänger nach dem 1. Studienfach - (1. Studiengang)",,10
,,,
"Statistik 5","Studentinnen nach dem 1. Studienfach - (1. Studiengang)",,13
,,,
"Statistik 6","Studierende nach Fächergruppen",,16
,,,
"Statistik 7","Studienfachbelegung nach Abschlusszielen","Fakultät für Mathematik",19
,,,
,,"Fakultät für Physik",23
,,,
,,"Fakultät für Chemie- und Biowissenschaften",26
,,,
,,"Fakultät für Geistes- und Sozialwissenschaften",29
,,,
,,"Fakultät für Architektur",49
,,,
,,"Fakultät für Bauingenieur- Geo- und Umweltwissenschaften",54
,,,
,,"Fakultät für Maschinenbau",63
,,,
,,"Fakultät für Chemieingenieurwesen und Verfahrenstechnik",64
,,,
,,"Fakultät für Elektrotechnik und Informationstechnik",67
,,,
,,"Fakultät für Informatik",70
,,,
,,"Fakultät für Wirtschaftswissenschaften",71
,,,
,,Mechatronik,74
,,,
,,Informationswirtschaft,75
,,,
,,"International Department",76
,,,
,,Studienkolleg,81
,,,
"Statistik 8","Beurlaubte nach Beurlaubungsgrund",,82
,,,
"Statistik 9","Exmatrikulierte nach Exmatrikulationsgründen",,83,,
,,,
"Statistik 10","Studierende nach Nationalitäten",,84
,,,
"Statistik 11","Studierende nach Bundesländern",,92
,,,
,,
§PAGEBREAK
Vorbemerkung,,,,,,,
,,,,,,,
"Die vorliegende Auswertung der Studierendenzahlen des Wintersemesters 2008/09 basiert auf der Fortschreibung der Daten",,,,,,,,
"aus den letzten Semestern (Rückmelder) und der Erfassung von Neuimmatrikulierten über einen Erhebungsbogen.",,,,,,,,
,,,,,,,,
"Obwohl den Auswertungsprogrammen umfangreiche Plausibilitätskontrollen vorgeschaltet sind und die Erhebungsbögen",,,,,,,,
"vor der Übertragung auf Datenträger auf inhaltliche Fehler überprüft wurden, kann die Genauigkeit der Statistik durch",,,,,,,,
"unvollständige oder falsche Angaben seitens der Studierenden bei der Einschreibung oder Rückmeldung  beeinträchtigt sein.",,,,,,,,
"Die Datenfortschreibung berücksichtigt alle von den Studierenden dem Studienbüro bis zum Stichtag der Auswertung (31.05.)",,,,,,,,
"mitgeteilten Änderungen (z.B. Studiengangwechsel, Änderung der angestrebten Abschlussprüfung u.a.m.).",,,,,,,,
,,,,,,,,
"Da die vorliegende Statistik möglichst allen Anforderungen der Benutzer entsprechen soll, sind wir dankbar, wenn uns",,,,,,,,
"Änderungsvorschläge bezüglich Inhalt und Layout dieser Statistik mitgeteilt werden.",,,,,,,,
,,,,,,,,
"Die vorliegenden Auswertungen wurden aus der mit dem Programm HISSOS-GX verwalteten",,,,,,,,
"Studierenden-Datenbank vorgenommen.",,,,,,,,
,,,,,,,,
"Abteilung I/2",,,"Hauptabteilung II",,,,,
Studienbüro,,,Informationsmanagement,,,,,
§PAGEBREAK
Erläuterung
"In den vorliegenden Statistiken wird unterschieden:",,,,,,,,
,,,,,,,,
,"""Kopfstatistik""","Jeder Studierende wird nur einmal als Person gezählt.",,,,,,
,"(Stat. 1 - 6; 8 - 11)","Die Summe aller ausgewiesenen Studierenden ergibt die Zahl der an der Universität Karlsruhe (TH) eingeschrie-",,,,,,
,,"benen Studierenden.",,,,,,
,"""Fallstatistik""","Jeder Studierende wird mit den Studienfächern, für die er immatrikuliert ist, gezählt.",,,,,,
,"(Stat. 7)","Studierende mit einer Fächerkombination sind in jedem ihrer angegebenen Fächer ausgewiesen.",,,,,,
,,"Gleiche Personen kommen mehrfach vor (1., 2. und 3. Studienfach).",,,,,,
,,,,,,,,
Rückmelder,"Studierende, die im vorangegangenem Semester bereits an der Universität Karlsruhe (TH) eingeschrieben waren.",,,,,,,
,,,,,,,,
Erstimmatrikulierte,"Studierende, die erstmalig an einer Hochschule in Deutschland eingeschrieben sind (1. Studien- und 1. Fachsemester).",,,,,,,
,,,,,,,,
Neuimmatrikulierte,"Studierende, die zum angegebenen Semester neu an der Universität Karlsruhe eingeschrieben wurden",,,,,,,
,"und bereits an einer Hochschule in Deutschland eingeschrieben waren.",,,,,,,
1.Sem.,"Studierende, die neu an der Universität Karlsruhe (TH) im 1. Fach- und höheren Hochschulsemester eingeschrieben sind.",,,,,,,
höh.Sem.,"Studierende, die neu an der Universität Karlsruhe (TH) im höh. Fach- und Hochschulsemester eingeschrieben sind.",,,,,,,
,,,,,,,,
Hochschulsemester,"Zahl der Semester, die ein Studierender an deutschen Hochschulen einschl. des laufenden Semesters eingeschrieben ist",,,,,,,
,"(einschl. Urlaubssemester,  jedoch ohne Studienkolleg).",,,,,,,
,,,,,,,,
Fachsemester,"Zahl der Semester, die der Studierende im laufenden Semester, in dem zugehörigen Studienfach, einschl. eventuell ",,,,,,,
,"aus anderen Studien- oder Ausbildungsgängen angerechneter Fachsemester, eingeschrieben ist."
,"(ohne Urlaubssemester)"
,
ASP,Abschlussprüfung,,,,,,,
§PAGEBREAK
"Statistik 1 - (Gesamtstatistik)"
Status,Insgesamt,davon,,,davon,,,,davon,,
,,männlich,weiblich,,"Deutsche
männlich","
weiblich","
Gesamt",,"Ausländer
männlich","
weiblich","
Gesamt"
,,,,,,,,,,,
Erstimmatr.,3683,2654,1029,,2134,769,2903,,520,260,780
,1,0.720608199837089,0.279391800162911,,0.579418951941352,0.208797176215042,0.788216128156394,,0.141189247895737,0.0705946239478686,0.211783871843606
,,,,,,,,,,,
Neuimmatr.,641,394,247,,328,208,536,,66,39,105
,1,0.614664586583463,0.385335413416537,,0.511700468018721,0.324492979719189,0.836193447737909,,0.102964118564743,0.0608424336973479,0.16380655226209
,,,,,,,,,,,
Rückmelder,14019,10437,3582,,8780,2836,11616,,1657,746,2403
,1,0.744489621228333,0.255510378771667,,0.626292888223126,0.202296882801912,0.828589771025038,,0.118196733005207,0.0532134959697553,0.171410228974963
,,,,,,,,,,,
beurlaubt,405,271,134,,261,111,372,,10,23,33
,1,0.669135802469136,0.330864197530864,,0.644444444444444,0.274074074074074,0.918518518518519,,0.0246913580246914,0.0567901234567901,0.0814814814814815
,,,,,,,,,,,
insgesamt,18748,13756,4992,,11503,3924,15427,,2253,1068,3321
,1,0.733731598037124,0.266268401962876,,0.745640759707007,0.254359240292993,0.822861105184553,,0.678410117434508,0.321589882565492,0.177138894815447
davon,,,,,,,,,,,
Zweitimmatr.,67,30,37,,30,37,67,,0,0,0
,1,0.447761194029851,0.552238805970149,,0.447761194029851,0.552238805970149,1,,0,0,0
Studienkolleg,146,109,37,,4,2,6,,105,35,140
,1,0.746575342465753,0.253424657534247,,0.0273972602739726,0.0136986301369863,0.0410958904109589,,0.719178082191781,0.23972602739726,0.958904109589041
,,,,,,,,,,,
§PAGEBREAK
"Statistik 2 - (Studierende nach Abschlusszielen)"
Abschlussziel,,Fachsemester,,,,,,,,,,,,,Gesamt,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,>12,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lizentiat,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Promotion m.Abschluß",,67,63,59,44,58,45,33,15,6,2,7,4,28,431,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staatsexamen,,18,9,12,2,16,7,14,6,14,5,15,4,4,126,,,,,,,,,,,,,,
