,"Studierenden-Statistik "
,"WS 2012/13"
,,
§PAGEBREAK
,"I n h a l t",,Seite
,,,
,Vorbemerkungen,,3
,,,
,Erläuterungen,,4
,,,
"Statistik 1",Gesamtstatistik,,5
,,,
"Statistik 2","Studierende nach Abschlusszielen",,6
,,,
"Statistik 3","Studierende nach dem 1. Studienfach - (1.Studiengang)",,7
,,,
"Statistik 4","Studienanfänger nach dem 1. Studienfach - (1. Studiengang)",,10
,,,
"Statistik 5","Studentinnen nach dem 1. Studienfach - (1. Studiengang)",,13
,,,
"Statistik 6","Studierende nach Fächergruppen",,16
,,,
"Statistik 7","Studienfachbelegung nach Abschlusszielen","Fakultät für Mathematik",19
,,,
,,"Fakultät für Physik",22
,,,
,,"Fakultät für Chemie- und Biowissenschaften",25
,,,
,,"Fakultät für Geistes- und Sozialwissenschaften",29
,,,
,,"Fakultät für Architektur",35
,,,
,,"Fakultät für Bauingenieur- Geo- und Umweltwissenschaften",38
,,,
,,"Fakultät für Maschinenbau",46
,,,
,,"Fakultät für Chemieingenieurwesen und Verfahrenstechnik",49
,,,
,,"Fakultät für Elektrotechnik und Informationstechnik",53
,,,
,,"Fakultät für Informatik",57
,,,
,,"Fakultät für Wirtschaftswissenschaften",58
,,,
,,Mechatronik,70
,,,
,,Informationswirtschaft,60
,,,
,,"International Department",61
,,,
,,Studienkolleg,68
,,,
,,"Promotionen in weiteren Fächern",69
,,,
,,"Auslaufende Studiengänge",70
,,,
"Statistik 8","Beurlaubte nach Beurlaubungsgrund",,71
,,,
"Statistik 9","Exmatrikulierte nach Exmatrikulationsgründen",,72
,,,
"Statistik 10","Studierende nach Nationalitäten",,73
,,,
"Statistik 11","Studierende nach Bundesländern",,81
,,,
§PAGEBREAK
Vorbemerkung,,,,,,,
,,,,,,,
"Die vorliegende Auswertung der Studierendenzahlen des Wintersemesters 2012/13 basiert auf der Fortschreibung der Daten",,,,,,,,
"aus den letzten Semestern (Rückmelder) und der Erfassung von Neuimmatrikuliertendaten.",,,,,,,,
,,,,,,,,
"Obwohl den Auswertungsprogrammen umfangreiche Plausibilitätskontrollen vorgeschaltet sind und die Erhebungsbögen",,,,,,,,
"vor der Übertragung auf Datenträger auf inhaltliche Fehler überprüft wurden, kann die Genauigkeit der Statistik durch",,,,,,,,
"unvollständige oder falsche Angaben seitens der Studierenden bei der Einschreibung oder Rückmeldung  beeinträchtigt sein.",,,,,,,,
"Die Datenfortschreibung berücksichtigt alle von den Studierenden dem Studienbüro bis zum Stichtag der Auswertung (12.11.)",,,,,,,,
"mitgeteilten Änderungen (z.B. Studiengangwechsel, Änderung der angestrebten Abschlussprüfung u.a.m.).",,,,,,,,
,,,,,,,,
"Da die vorliegende Statistik möglichst allen Anforderungen der Benutzer entsprechen soll, sind wir dankbar, wenn uns",,,,,,,,
"Änderungsvorschläge bezüglich Inhalt und Layout dieser Statistik mitgeteilt werden.",,,,,,,,
,,,,,,,,
"Die vorliegenden Auswertungen wurden aus der mit dem Programm HISSOS-GX verwalteten",,,,,,,,
"Studierenden-Datenbank vorgenommen.",,,,,,,,
,,,,,,,,
§PAGEBREAK
Erläuterung
"In den vorliegenden Statistiken wird unterschieden:",,,,,,,,
,,,,,,,,
,"""Kopfstatistik""","Jeder Studierende wird nur einmal als Person (Kopf) gezählt.",,,,,,
,"(Stat. 1 - 6; 8 - 11)","Die Summe aller ausgewiesenen Studierenden ergibt die Zahl der am Karlsruher Institut für Technologie (KIT)",,,,,,
,,"eingeschriebenen Studierenden.",,,,,,
,"""Fallstatistik""","Jeder Studierende wird mit den Studienfächern, für die er immatrikuliert ist, gezählt.",,,,,,
,"(Stat. 7)","Studierende mit einer Fächerkombination sind in jedem ihrer angegebenen Fächer ausgewiesen.",,,,,,
,,"Gleiche Personen kommen mehrfach vor (1., 2. und 3. Studienfach).",,,,,,
,,,,,,,,
Rückmelder,"Studierende, die im vorangegangenem Semester bereits am Karlsruher Institut für Technologie (KIT) eingeschrieben waren.",,,,,,,
,,,,,,,,
Erstimmatrikulierte,"Studierende, die erstmalig an einer Hochschule in Deutschland eingeschrieben sind (1. Studien- und 1. Fachsemester).",,,,,,,
,,,,,,,,
Neuimmatrikulierte,"Studierende, die zum angegebenen Semester neu am Karlsruher Institut für Technologie (KIT) eingeschrieben wurden",,,,,,,
,"und bereits an einer Hochschule in Deutschland eingeschrieben waren.",,,,,,,
1.Sem.,"Studierende, die neu am Karlsruher Institut für Technologie (KIT) im 1. Fach- und höheren Hochschulsemester eingeschrieben sind.",,,,,,,
höh.Sem.,"Studierende, die neu am Karlsruher Institut für Technologie (KIT) im höh. Fach- und Hochschulsemester eingeschrieben sind.",,,,,,,
,,,,,,,,
Hochschulsemester,"Zahl der Semester, die ein Studierender an deutschen Hochschulen einschl. des laufenden Semesters eingeschrieben ist",,,,,,,
,"(einschl. Urlaubssemester,  jedoch ohne Studienkolleg).",,,,,,,
,,,,,,,,
Fachsemester,"Zahl der Semester, die der Studierende im laufenden Semester, in dem zugehörigen Studienfach, einschl. eventuell ",,,,,,,
,"aus anderen Studien- oder Ausbildungsgängen angerechneter Fachsemester, eingeschrieben ist."
,"(ohne Urlaubssemester)"
,
ASP,Abschlussprüfung,,,,,,,
"1. HF ","1. Hauptfach"
"2. HF ","2. Hauptfach"
NF,"Nebenfach / entspricht Erweiterungsfach"
WBF,"Zweitimmatrikulierte Studierende des Karlsruher Institut für Technologie (KIT)."
"(Wissenschaftliches Beifach)","Studierende, die gleichzeitig an der Kunst- und Musikhochschule eingeschrieben sind und am Karlsruher Institut für Technologie (KIT)"
,"ein zusätzliches wissenschaftliches Beifach studieren."
,
,
§PAGEBREAK
"Statistik 1 - (Gesamtstatistik)"
Status,Insgesamt,davon,,davon,,,davon,,
,,männlich,weiblich,"Deutsche
männlich","
weiblich","
Gesamt","Ausländer
männlich","
weiblich","
Gesamt"
,,,,,,,,,
Erstimmatr.,4708,3401,1307,2664,917,3581,737,390,1127
,1,0.722387425658454,0.277612574341546,0.565845369583687,0.194774851316907,0.760620220900595,0.156542056074766,0.0828377230246389,0.239379779099405
,,,,,,,,,
Neuimmatr.,1461,1018,443,907,400,1307,111,43,154
,1,0.69678302532512,0.30321697467488,0.620807665982204,0.27378507871321,0.894592744695414,0.0759753593429158,0.0294318959616701,0.105407255304586
,,,,,,,,,
Rückmelder,17359,12828,4531,11108,3706,14814,1720,825,2545
,1,0.738982660291491,0.261017339708509,0.639898611671179,0.213491560573766,0.853390172244945,0.0990840486203122,0.0475257791347428,0.146609827755055
,,,,,,,,,
Beurlaubt,377,236,141,220,124,344,16,17,33
,1,0.625994694960212,0.374005305039788,0.583554376657825,0.328912466843501,0.912466843501326,0.0424403183023873,0.0450928381962865,0.0875331564986737
,,,,,,,,,
Insgesamt,23905,17483,6422,14899,5147,20046,2584,1275,3859
,1,0.731353273373771,0.268646726626229,0.623258732482744,0.215310604476051,0.838569336958795,0.108094540891027,0.0533361221501778,0.161430663041205
davon,,,,,,,,,
Zweitimmatr.,83,34,49,33,47,80,1,2,3
,1,0.409638554216867,0.590361445783133,0.397590361445783,0.566265060240964,0.963855421686747,0.0120481927710843,0.0240963855421687,0.036144578313253
,,,,,,,,,
Studienkolleg,202,129,73,1,0,1,128,73,201
,1,0.638613861386139,0.361386138613861,0.00495049504950495,0,0.00495049504950495,0.633663366336634,0.361386138613861,0.995049504950495
,,,,,,,,,
§PAGEBREAK
"Statistik 2 - (Studierende nach Abschlusszielen)"
Abschlussziel,Fachsemester,,,,,,,,,,,,,Gesamt
,1,2,3,4,5,6,7,8,9,10,11,12,>12,
,,,,,,,,,,,,,,
"Promotion m.Abschluss",75,114,113,94,103,61,59,18,30,11,13,7,50,748
,,,,,,,,,,,,,,
Staatsexamen,,,,,46,,25,9,15,6,8,1,3,113
,,,,,,,,,,,,,,
"Diplom (U)",1,,,1,1,1,9,91,588,149,1189,171,2333,4534
,,,,,,,,,,,,,,
"Dipl.-Ing. Pädagoge",,,,,,,,,5,4,5,,6,20
,,,,,,,,,,,,,,
"Lehramt Gymnasien",152,1,161,8,147,10,98,5,76,1,69,6,58,792
,,,,,,,,,,,,,,
Bachelor,4468,33,3729,96,2657,201,1805,47,464,16,54,2,37,13609
,,,,,,,,,,,,,,
Master,1042,693,832,328,365,101,71,26,17,3,9,1,4,3492
,,,,,,,,,,,,,,
Aufbaustudium,141,50,17,2,,,,,,1,,1,6,218
,,,,,,,,,,,,,,
"kein Abschluss möglich",50,14,33,8,68,27,61,40,39,24,8,3,4,379
,,,,,,,,,,,,,,
Insgesamt,5929,905,4885,537,3387,401,2128,236,1234,215,1355,192,2501,23905
§PAGEBREAK
"Statistik 3 - (Studierende nach dem 1.Studienfach - [1.Studiengang]) ",
,
Fakultät,Fach,(Fach-Schl.),Gesamt,,davon,"Rück-
melder","Erst-
immatr.","   Neuimmatrikuliert",," Deutsche",,," Ausländer",,,beurlaubt
,,,Fakultät,Fach,,,,1.FSem.,höh.Sem.,männlich,weiblich,Gesamt,männlich,weiblich,Gesamt,
,,,,,,,,,,,,,,,,
"Fakultät für Mathematik",,,,,,,,,,,,,,,,
,Mathematik,(105&805),1080,848,,617,165,47,5,502,263,765,45,38,83,14,
,Technomathematik,(118),,63,,58,0,3,0,44,13,57,6,0,6,2,
,Wirtschaftsmathematik,(276),,169,,162,0,3,0,94,45,139,6,24,30,4,
"Fakultät für Physik",,,,,,,,,,,,,,,,,
,Geophysik,(066),1540,111,,60,31,20,0,72,35,107,4,0,4,0,
,Meteorologie,(110),,126,,75,39,9,1,71,51,122,1,3,4,2,
,Physik,(128&828),,1303,,972,207,93,13,1041,200,1241,50,12,62,18,
"Fakultät für Chemie und Biowissenschaften",,,,,,,,,,,,,,,,,
,Biologie,(026),1486,514,,362,87,57,8,164,305,469,20,25,45,0,
,Chemie,(032),,655,,505,107,29,8,397,198,595,27,33,60,6,
,"Chemische Biologie",(632),,112,,65,27,19,1,44,57,101,1,10,11,0,
,Lebensmittelchemie,(096),,205,,152,44,6,0,41,150,191,2,12,14,3,
"Fakultät für Geistes- und Sozialwissenschaften",,,,,,,,,,,,,,,,,
,"Deutsch / Germanistik",(767&667),1477,552,,429,79,33,4,142,353,495,11,46,57,7,
,"Europ. Kult./Ideengeschichte",(627),,254,,156,52,41,4,101,130,231,7,16,23,1,
,Geschichte,(668),,11,,11,0,0,0,9,2,11,0,0,0,0,
,Literaturwissenschaft,(188),,5,,5,0,0,0,2,2,4,0,1,1,0,
,Pädagogik,(652),,162,,132,15,13,0,16,133,149,2,11,13,2,
,"Ingenieurpädagogik Bautechnik",(817),,9,,5,1,2,0,5,3,8,1,0,1,1,
,"Ingenieurpädagogik Metalltechnik",(108),,25,,13,7,5,0,18,3,21,4,0,4,0,,,,,
,"Ingenieurpädagogik Elektrotechnik",(948),,14,,9,0,5,0,8,4,12,1,1,2,0,,,
,Philosophie,(127),,3,,3,0,0,0,2,1,3,0,0,0,0,
,Soziologie,(149),,2,,2,0,0,0,0,0,0,0,2,2,0,
,"Sport Gesamt","(998&
098&629)",,391,,310,51,22,4,247,130,377,11,3,14,4,
,"Wissenschaft, Medien-Kommunikation",(303),,49,,1,39,9,0,17,28,45,2,2,4,0,
"Fakultät für Architektur",,,,,,,,,,,,,,,,,
,Altbauinstandsetzung,(613),1039,8,,7,0,0,0,1,7,8,0,0,0,1,
,Architektur,(013),,830,,587,135,49,4,265,380,645,72,113,185,55,
,Kunstgeschichte,(692),,201,,113,55,31,0,29,162,191,0,10,10,2,
,,,,,,,,,,,,,,,,
§PAGEBREAK
"Statistik 3 - (Studierende nach dem 1.Studienfach - [1.Studiengang]) ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Fakultät,Fach,"(Fach -Schl.)","          Gesamt",,davon,"Rück-
melder","Erst-
immatr.","   Neuimmatrikuliert",," Deutsche",,," Ausländer",,,beurlaubt,,
,,,Fakultät,Fach,,,,1.FSem.,höh.Sem.,männlich,weiblich,Gesamt,männlich,weiblich,Gesamt,,,
,,,,,,,,,,,,,,,,,,
"Fakultät für Bauingenieur-, Geo- und Umweltwissenschaften",,,,,,,,,,,,,,,,,,
,"Angewandte Geowissenschaft",(039),2267,331,,217,76,37,0,210,99,309,15,7,22,1,,
,Bauingenieurwesen,(017),,1437,,1032,331,55,6,820,354,1174,183,80,263,13,,
,"Geodäsie und Geoinformatik",(171),,103,,64,28,9,0,53,30,83,14,6,20,2,,
,"Geographie ",(050&850),,137,,124,5,7,1,56,81,137,0,0,0,0,,
,Geoökologie,(283),,194,,143,34,10,4,59,116,175,5,14,19,3,,
,Geologie,(065),,8,,8,0,0,0,5,3,8,0,0,0,0,,
,Mineralogie,(111),,2,,2,0,0,0,2,0,2,0,0,0,0,,
,Regionalwissenschaft,(134),,46,,30,9,7,0,4,5,9,16,21,37,0,,
,"Resources Engineering",(072),,9,,0,8,1,0,1,0,1,6,2,8,0,,
"Fakultät für Maschinenbau",,,,,,,,,,,,,,,,,,,,,
,Energietechnik,(211),4236,3,,0,2,1,0,1,0,1,0,2,2,0,,,,,
,"Energy Technologies",(311),,35,,4,27,4,0,6,1,7,23,5,28,0,,,,,
,Maschinenbau,(604),,4121,,3075,789,214,15,2904,314,3218,751,152,903,28,,,,,
,"Materialwissenschaft und 
Werkstofftechnik",(704),,77,,23,48,6,0,38,15,53,14,10,24,0,,
"Fakultät für Chemieingenieurwesen und Verfahrenstechnik",,,,,,,,,,,,,,,,,,,,,
,Bioingenieurwesen,(633),1494,324,,239,70,12,0,165,137,302,11,11,22,3,,,,,
,"Chemieingenieurwesen
und Verfahrenstechnik",(033),,1145,,834,253,48,1,748,237,985,86,74,160,9,,,,,
,"Naturwissenschaft und Technik",(186),,24,,9,1,14,0,18,4,22,0,2,2,0,,,,,
,"Utilities and Waste - Sustainable Processing",(733),,1,,1,0,0,0,0,0,0,0,1,1,0,,,,,
"Fakultät für Elektrotechnik und Informationstechnik",,,,,,,,,,,,,,,,,,,,,
,"Electrical Engineering and Information Technologies",(648),2077,1,,1,0,0,0,0,0,0,0,1,1,0,,
,"Elektrotechnik und Informationstechnik",(048),,1965,,1469,388,91,5,1439,135,1574,325,66,391,12,,
,"Optics and Photonics",(748),,111,,80,19,11,0,12,5,17,67,27,94,1,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
§PAGEBREAK
"Statistik 3 - (Studierende nach dem 1.Studienfach - [1.Studiengang]) ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Fakultät,Fach,"(Fach -Schl.)","          Gesamt",,davon,"Rück-
melder","Erst-
immatr.","   Neuimmatrikuliert",," Deutsche",,," Ausländer",,,beurlaubt,,,
,,,Fakultät,Fach,,,,1.FSem.,höh.Sem.,männlich,weiblich,Gesamt,männlich,weiblich,Gesamt,,,,
,,,,,,,,,,,,,,,,,,,
"Fakultät für Informatik",,,,,,,,,,,,,,,,,,,
,Informatik,(079),2646,2646,,1947,567,109,5,1993,153,2146,389,111,500,18,,,
"Fakultät für Wirtschaftswissenschaften",,,,,,,,,,,,,,,,,,,
,"Technische Volkswirtschaft",(600),3523,183,,128,31,19,1,121,37,158,11,14,25,4,,,
,Volkswirtschaft,(175),,1,,1,0,0,0,0,0,0,1,0,1,0,,,
,Wirtschaftsingenieurwesen,(179),,3339,,2514,520,157,5,2336,650,2986,178,175,353,143,
"Interfakultative Studiengänge",,,,,,,,,,,,,,,,,,,
,"Informationswirtschaft *",(610),799,692,,489,140,46,0,464,110,574,64,54,118,17,,,
,"Mechatronik **",(380),,19,,19,0,0,0,15,0,15,4,0,4,0,,,
,"Mechatronik und Informationstechnik **",(480),,88,,3,76,9,0,72,1,73,14,1,15,0,,,
"International Department",,,,,,,,,,,,,,,,,,,
,"Embedded Systems Engineering",(683),39,1,,1,0,0,0,1,0,1,0,0,0,0,,,
,"Energy Engineering and Management",(685),,5,,2,1,2,0,2,1,3,1,1,2,0,,,
,"Financial Engineering",(681),,0,,0,0,0,0,0,0,0,0,0,0,0,,,
,"Green Mobility Engineering",(684),,6,,3,3,0,0,5,1,6,0,0,0,0,,,
,"Management of Product Development",(679),,4,,4,0,0,0,2,0,2,2,0,2,0,,,
